"id","name","comment","created_at","updated_at","position"
1,"settlement","","2010-11-04 12:52:06","2010-11-04 12:52:06",
2,"single grave","","2010-11-04 12:52:06","2010-11-04 12:52:06",
4,"miscellaneous","","2010-11-04 12:52:06","2010-11-04 12:52:06",
6,"enclosure","","2010-11-04 12:52:06","2010-11-04 12:52:06",
7,"n/a","","2010-11-04 12:52:06","2010-11-04 12:52:06",
8,"hoard","","2010-11-04 12:52:06","2010-11-04 12:52:06",
15,"Tell","","2013-04-25 13:18:51.285458","2013-04-25 13:18:51.285458",1
16,"Shell midden","","2013-04-25 13:18:57.663782","2013-04-25 13:18:57.663782",1
12,"mine","","2011-10-13 12:58:49.784886","2011-10-13 12:58:49.784886",1
13,"double burial","","2011-11-30 13:23:43.035631","2011-11-30 13:23:43.035631",1
14,"burial mound","","2011-12-01 12:41:08.157699","2011-12-01 12:41:08.157699",1
10,"rockshelter/cave","","2010-11-04 12:52:06","2013-04-25 13:39:35.918216",
17,"Dolmen","","2015-06-02 14:28:28.865498","2015-06-02 14:28:28.865498",2
18,"Passage Grave","","2015-06-02 14:28:39.807918","2015-06-02 14:28:39.807918",3
19,"well","","2015-06-02 14:30:02.799205","2015-06-02 14:30:02.799205",4
20,"gallery grave","","2015-06-02 14:31:40.958219","2015-06-02 14:31:40.958219",5
3,"collective burial","Includes Dolmen, Passage graves and gallery graves until categories where estabished 2015-06-02","2010-11-04 12:52:06","2015-06-02 14:32:04.204594",
21,"pollen profile","","2015-06-02 14:34:29.333948","2015-06-02 14:34:29.333948",6
22,"marine drill core","","2015-06-02 14:36:51.475592","2015-06-02 14:36:51.475592",7
