"id","name","created_at","updated_at","position"
1,"charcoal","2010-11-04 13:42:45","2010-11-04 13:42:45",
2,"collagen, bone","2010-11-04 13:42:45","2010-11-04 13:42:45",
3,"grain","2010-11-04 13:42:45","2010-11-04 13:42:45",
4,"fabric","2010-11-04 13:42:45","2010-11-04 13:42:45",
5,"peat","2010-11-04 13:42:45","2010-11-04 13:42:45",
6,"cremated bones","2010-11-04 13:42:45","2010-11-04 13:42:45",
7,"n/a","2010-11-04 13:42:45","2010-11-04 13:42:45",
8,"shell","2010-11-04 13:42:45","2010-11-04 13:42:45",
9,"wood","2010-11-04 13:42:45","2010-11-04 13:42:45",
11,"seed","2010-11-04 13:42:45","2010-11-04 13:42:45",
12,"organic temper","2010-11-04 13:42:45","2010-11-04 13:42:45",
13,"food remains","2010-11-04 13:42:45","2010-11-04 13:42:45",
14,"miscellaneous","2010-11-04 13:42:45","2010-11-04 13:42:45",
19,"antler","2014-05-26 10:09:54.733834","2014-05-26 10:09:54.733834",2
20,"plant remains","2014-05-26 10:22:08.12027","2014-05-26 10:22:08.12027",3
16,"dentin","2011-11-16 16:17:32.651124","2011-11-16 16:17:32.651124",1
17,"charred reed","2011-12-19 11:01:32.324856","2011-12-19 11:01:32.324856",1
18,"charred twigs","2011-12-19 11:11:24.998361","2011-12-19 11:11:24.998361",1
